what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1546618290008
os,sysinfo,,,"linux",1546618290011
arch,sysinfo,,,"x86",1546618290011
ws,sysinfo,,,"gtk",1546618290011
locale,sysinfo,,,"en_US",1546618290011
processors,sysinfo,,,"2",1546618290012
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1546618290012
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1546618290012
java.specification.name,sysinfo,,,"Java Platform API Specification",1546618290012
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1546618290012
java.specification.version,sysinfo,,,"1.6",1546618290012
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1546618290012
java.version,sysinfo,,,"1.6.0_21",1546618290012
java.vm.info,sysinfo,,,"mixed mode, sharing",1546618290012
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1546618290012
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1546618290012
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1546618290012
java.vm.specification.version,sysinfo,,,"1.0",1546618290012
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1546618290012
java.vm.version,sysinfo,,,"17.0-b16",1546618290012
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1546618305873
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1546618305964
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1546618305965
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1546618305983
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.close",1546618306028
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1546618318981
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1546618329668
